text,label,language_category
Құдай үшін көршілер ең болмаса ауыз ашар және жабар уақытта сігіспеңдерші.,OFFENSIVE,KAZAKH_ONLY
"Обращение к пацанам от пацана. Я много к чему толерантен но не к вони. Мойтесь пожалуйста, у вас волосы так блестят что будто в зеркало смотрю. Ходят еще потные точно не с Джима я даже думаю такие ребята в Джим вообще не ходят. I mean sorry for toxicity, idk what u going through but we don’t have to go through that зловоние with u. I literally had gag reflexes",OFFENSIVE,MIXED_OTHER
хочу признаться омирсадук алмат просто знай ты капец заебал прям кринжую каждый раз когда вижу тебя,OFFENSIVE,MIXED_KAZ_RUS
amankulzh мамбич конченый ????????,OFFENSIVE,MIXED_KAZ_RUS
Выше что-то высирали по поводу музыки что аж мозгам больно. Anyway utopia aoty #freetayk,OFFENSIVE,MIXED_KAZ_RUS
"С каждым приходом фрешманов тумба превращается в настоящую парашу

Админка Тумбы: Can't argue the facts",OFFENSIVE,MIXED_KAZ_RUS
алмат о. нафиг садиться за самую первую парту и пялиться на rest of the class? тактага карайн десем сенин турин нервыма тиед алдыга карап отырш зайбал,OFFENSIVE,MIXED_KAZ_RUS
"Самат далбаеб, мб виздроунуть?",OFFENSIVE,MIXED_KAZ_RUS
"Imma give some advice how to pull bitches:
1. Don't go after 8+/10, esp if you're 6-/10. Date uglier girls, gain some experience.
2. Invest in fat/out of shape girls. It's easier to change the body than face.
3. Don't be too pushy, but don't be too nonchalant. Don't triple text, but make sure to reply the texts timely.
4. Hygiene. Self-explanatory.
5. Don't be scared to approach them, but never do it when they're with their girlfriends. High chance of getting rejected+they'll 100% remember you and will later make fun of you.
6. 'Don't chace-attract' hyinya ne rabotaet pacany.",OFFENSIVE,MIXED_OTHER
"Очень сильно хочу срать и пытаюсь добежать до комнаты под I’m still standing. 
С поддержкой Элтона надеюсь не обосрусь.",OFFENSIVE,MIXED_OTHER
"Ауыл жақтан шығып атрм. Таксиге отырам қасымда нәәән семіз бала талтиып итеріп отыр. 'Братан бұтыңды жинап отши' десем. Не шаршап отсын қай жылғысың дид. Құрсын 2 адамға төлеген жоқсн прост жиналып отыр, 2002 дегем. О ассалакмуғаликум деп 2 қолмен қайтадан амандасып, ананы танисыңба мынаны танисыңба деп силап кетті?

Түрім дотого чертпа сонда? XD",OFFENSIVE,MIXED_KAZ_RUS
"Nora when I catch you, Nora. chezah a ne midka",OFFENSIVE,MIXED_OTHER
"Am I the only one who wants to kill the person who created that app for evaluating girls? ( серьезно, чел ты такой отбитый, просто слов нет.)",OFFENSIVE,MIXED_OTHER
"это тоже 
«kill the person»
«ты такой отбитый»",OFFENSIVE,MIXED_KAZ_RUS
"24 блок лифтта сагат 3те болган кыз, вроде в красной одежде была. underwear не екенын блесын бе ныгызы, рядом с тобой как будто в sea-food ресторане оказался",OFFENSIVE,MIXED_KAZ_RUS
"Те кто брал калк у жанботы, low attendance  на чтото влияет?

Заебал выложи уже",OFFENSIVE,MIXED_KAZ_RUS
Алихан Шарип что за девушки рядом с тобой? Ты с ним из-за жалости общаешься? Что за пикмишницы и немного ст**рвы,OFFENSIVE,MIXED_KAZ_RUS
"Барабанщик, наконец то я тебя увидел. Я тебя запомнил, ходи оглядывайся, уахахаха (зловещий смех)",OFFENSIVE,MIXED_KAZ_RUS
"Знаете электрикалы, говорящие be professional и ждущие 30% керв, идите нафиг.  Ебаное двуличие. Вам кервят получается за не за что. Какие еще старания? Какие еще офис аурсы? Вы convolution, fourier series не понимаете, за что те 30% керва. Давайте честно, все же на самом деле фейлят курс?",OFFENSIVE,MIXED_KAZ_RUS
"Я же максимально сдержанно написал, но даже это не пускаете. В ахуе блять, неше түрлі хуйняны пускаете, но когда я решил призвать клоунов показывать свою “доброту” делом, а не пустыми словами поддержки палестины, вы решаете не пускать этот пост. Я ахуею если это запостите. И те кто пытаются отменить корпорации своими бойкотами, идите нахуй, клоуны бля????????",OFFENSIVE,MIXED_KAZ_RUS
"Аяжан, он не достоин тебя, как ты этого не видишь. You’re waaaay out of his league((((( Как жаль что я побоялся с тобой заобщаттся",OFFENSIVE,MIXED_KAZ_RUS
"вот только сегодня вечером опять увидела кудрявого Димашика в корнере, такой сладусенький. He definitely has a mommy issues",OFFENSIVE,MIXED_OTHER
"ақтүе, 04 04, 7132 зига зага пышактасасынба?>>>>>",OFFENSIVE,MIXED_KAZ_RUS
"Админ, стоит выложить. К чему из-за такой хуйни столько агрессии высирать? Даже адекватно ответить трудно. There are like six other microwaves, if not more. The fuck is your problem if someone was charging their laptop there you small minded waste of a human potential? The fuck is the problem with plugging in the microwave back if this is the microwave that you love oh so much to bitch around about it here? Control those anger issues you dipshit.",OFFENSIVE,MIXED_OTHER
асет ж все уже поняли что ты сам себе строчишь в тумбу????????????????,OFFENSIVE,MIXED_KAZ_RUS
Артем 'что ты сказала?' котен жу,OFFENSIVE,MIXED_KAZ_RUS
"Айгерим Мадиева такая противная проф, нифига не крашиха",OFFENSIVE,MIXED_KAZ_RUS
"мне нравится одна девушка, но как будто она избегает меня, общается почти со всеми кроме меня, когда что то не понимает не было чтоб меня просила, ну нафиг этих девушек? сгема болам ба?",OFFENSIVE,MIXED_KAZ_RUS
"https://t.me/nutumba/12146
Отдельный пост:
'Мне нравится жопа одной девушки в зале
миссис эластик, жопа фантастик

Good job, keep it up'",OFFENSIVE,MIXED_OTHER
Бля анезер лавын зайбалды шыгарды после файнала нельзя играть,OFFENSIVE,MIXED_KAZ_RUS
"Имангали К, фаундер
He is so creepy, stop talking to me please????",OFFENSIVE,MIXED_OTHER
шфифти хватит писать taylors version как вы эту тайлор шифт слушаете я не понимаю mid as fuck,OFFENSIVE,MIXED_OTHER
"Алим перваш смг кудрявый который, такой секс бомба. его кудри аж хочется жмякать. интересно у него снизу также?",OFFENSIVE,MIXED_KAZ_RUS
"Лесбилар дахуя екен гой осы уникте. Миларынды шайып жатканын байкамайсындар ма. Баска универде лесбилар 10 есеп аз шыгар грубо айтканда. Жалпы простая математика гой, ойлансандаршы кишкене.",HATE_SPEECH,MIXED_KAZ_RUS
"'у тебя нет воли к стремлению, к лучшей версией себя' дейді ғой күнде код жазып, джимға барып, ерте ұйқыға жатып, ерте оянатын балаға пашамайттың қызы",OFFENSIVE,MIXED_KAZ_RUS
"Орысша сөйлейтін адамдар көбінесе ашық және мейірімді болады, қазақша сөйлейтіндер көбінесе мамбеттер немесе арам адамдар болады. Өз байқауым.",HATE_SPEECH,MIXED_KAZ_RUS
"Бля этот Ден бейбибой деген миды ашытиығой жеке өмірің барма өзі ? 
Кетш заебал блять, либо кз да көтіңді айырам",OFFENSIVE,MIXED_KAZ_RUS
"Алтынай с биологии, ты мне не нравишься",OFFENSIVE,KAZAKH_ONLY
жаль что ты не сдох в 2023 чтоб не прощать тебя в 2024,OFFENSIVE,MIXED_KAZ_RUS
"Те кто закинули мне пустые бутылки от пива  в открытую комнату на втором этаже, вы знаете что есть камера которая в эту сторону смотрит? I'm gonna report it (unless u dm me @floppaasf and send 10 000 tg to my kaspi)",OFFENSIVE,MIXED_KAZ_RUS
"Бл я боюсь баб тут в НУ. Они из за своего ебанутого феминизма уже совсем неадекватными стали. Охуеть 

Стою в лифте, смотрю на свое отражение и чет так залип. That stupid bitch thought that I was looking at her ass though the mirror and started yelling at me. R u stupid or what ? Ладно если бы у нее хоть была фигура, that bitch was flat as fuck. 

Ты хоть извинилась бы, озуеть после этого боюсь баб в НУ",HATE_SPEECH,MIXED_KAZ_RUS
